Zeitstempel,Score,Participant-ID,Condition,Reflect on your play experiences and rate your agreement with the following statements: [I feel competent at the game],Reflect on your play experiences and rate your agreement with the following statements: [I feel very capable and effective when playing],Reflect on your play experiences and rate your agreement with the following statements: [My ability to play the game is well matched with the game's challenges],Reflect on your play experiences and rate your agreement with the following statements: [The game provides me with interesting options and choices],Reflect on your play experiences and rate your agreement with the following statements: [The game lets you do interesting things],Reflect on your play experiences and rate your agreement with the following statements: [I experienced a lot of freedom in the game],Reflect on your play experiences and rate your agreement with the following statements: [I find the relationships I form in this game fulfilling],Reflect on your play experiences and rate your agreement with the following statements: [I find the relationships I form in this game important],Reflect on your play experiences and rate your agreement with the following statements: [I donâ€™t feel close to other players],"Reflect on your play experiences and rate your agreement with the following statements: [When playing the game, I feel transported to another time and place]",Reflect on your play experiences and rate your agreement with the following statements: [Exploring the game world feels like taking an actual trip to a new place],Reflect on your play experiences and rate your agreement with the following statements: [When moving through the game world I feel as if I am actually there],Reflect on your play experiences and rate your agreement with the following statements: [I am not impacted emotionally by events in the game],Reflect on your play experiences and rate your agreement with the following statements: [The game was emotionally engaging],Reflect on your play experiences and rate your agreement with the following statements: [I experience feelings as deeply in the game as I have in real life],Reflect on your play experiences and rate your agreement with the following statements: [When playing the game I feel as if I was part of the story],Reflect on your play experiences and rate your agreement with the following statements: [When I accomplished something in the game I experienced genuine pride],Reflect on your play experiences and rate your agreement with the following statements: [I had reactions to events and characters in the game as if they were real],Reflect on your play experiences and rate your agreement with the following statements: [Learning the game controls was easy],Reflect on your play experiences and rate your agreement with the following statements: [The game controls are intuitive],"Reflect on your play experiences and rate your agreement with the following statements: [When I wanted to do something in the game, it was easy to remember the corresponding control]",Please add some comments about what you liked most about the game:
25.06.2021 01:33:16,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 01:40:50,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 01:42:06,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 01:43:44,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 01:46:22,,dimi,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 01:47:31,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 01:49:06,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 01:50:38,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 01:54:51,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 01:57:19,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 02:04:37,,dimi,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 02:04:57,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 02:05:12,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 02:05:21,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 02:10:51,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 02:17:43,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 02:25:49,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 02:33:42,1,participant_id,test,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 21:36:03,1,546BF19C-28E4-5CCC-A14B-1C4C9BF27F6B,0,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 21:36:20,1,546BF19C-28E4-5CCC-A14B-1C4C9BF27F6B,0,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:01:57,12,nbvc,bcc,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:10:39,22,444,444,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:12:59,0,546BF19C-28E4-5CCC-A14B-1C4C9BF27F6B,Mouse,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:13:17,0,546BF19C-28E4-5CCC-A14B-1C4C9BF27F6B,Mouse,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:14:20,-1,546BF19C-28E4-5CCC-A14B-1C4C9BF27F6B,Mouse,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:26:56,0,546BF19C-28E4-5CCC-A14B-1C4C9BF27F6B,Mouse,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:33:37,-1,546BF19C-28E4-5CCC-A14B-1C4C9BF27F6B,Mouse,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:33:45,-1,546BF19C-28E4-5CCC-A14B-1C4C9BF27F6B,Keys,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:33:53,-1,546BF19C-28E4-5CCC-A14B-1C4C9BF27F6B,Keys,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:34:00,0,546BF19C-28E4-5CCC-A14B-1C4C9BF27F6B,Keys,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:39:22,3,546BF19C-28E4-5CCC-A14B-1C4C9BF27F6B,Mouse,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:39:45,2,546BF19C-28E4-5CCC-A14B-1C4C9BF27F6B,Keys,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:55:09,-13,n/a,Mouse,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:58:06,0,33da0af9-cf0a-4518-aba0-86f5d8649a9a,Mouse,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 22:58:19,0,66522a75-e6ad-4c2c-a89d-b6c9e8e6c3fe,Mouse,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 23:15:13,1,22b551d4-a07e-4199-80c5-eca5f3c816c3,Mouse,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,bad game
25.06.2021 23:21:31,2,a25e6d30-95f5-4dab-8432-d3dbd0a3ab0a,Mouse,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 23:21:35,2,a25e6d30-95f5-4dab-8432-d3dbd0a3ab0a,Mouse,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 23:21:51,2,a25e6d30-95f5-4dab-8432-d3dbd0a3ab0a,Mouse,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 23:23:06,2,d7c0072a-e1ee-4062-80fc-634ea8efe43e,Mouse,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 23:30:42,26,cb9225ef-28a9-4108-afb2-662e4c0bb535,Keys,,,,,,,,,,,,,,,,,,,,,,
25.06.2021 23:31:19,26,cb9225ef-28a9-4108-afb2-662e4c0bb535,Keys,,,,,,,,,,,,,,,,,,,,,,yeah
25.06.2021 23:58:23,67,e9cded80-b304-44e1-9a5b-7658344c9cf7,Mouse,,,,,,,,,,,,,,,,,,,,,,
26.06.2021 00:04:49,93,3bc6bd78-5d55-4a17-b076-99c5617a4747,Mouse,,,,,,,,,,,,,,,,,,,,,,
26.06.2021 00:05:32,93,3bc6bd78-5d55-4a17-b076-99c5617a4747,Mouse,strongly disagree,moderately disagree,slightly disagree,neutral,slightly agree,moderately agree,strongly agree,strongly disagree,moderately disagree,slightly disagree,neutral,slightly agree,moderately agree,strongly agree,strongly disagree,moderately disagree,slightly disagree,neutral,slightly agree,moderately agree,strongly agree,